doi,paper_id,title,authors,published_date,submission_date,article_url,in_scope,qualitative,data,code,data_and_code,neither,data_gated,data_source_apply_at,package_location,path_to_package,coverage_checked,notes,batch
10.15195/v1.a1,SS001,The Structure of Online Activism,"Kevin Lewis, Kurt Gray, Jens Meierhenrich",2014-02-12,"September 16, 2013",https://sociologicalscience.com/structure-online-activism/,Y,N,N,N,N,Y,,,,N/A,"(a) Article page https://sociologicalscience.com/structure-online-activism/ — only 'Supplemental Materials' PDF + article PDF links, no Reproducibility Package line. (b) Full article PDF https://sociologicalscience.com/download/volume%201/february_/The%20Structure%20of%20Online%20Activism.pdf — read end-matter; acknowledgements say data provided by Causes and Save Darfur Coalition (proprietary); no availability statement; all links are dx.doi.org citations. (c) Supplement PDF .../supplementalmaterials/The%20Structure%20of%20Online%20Activism_Supplemental.pdf — extracted full text; robustness analyses + one regression table only; NO printed code (no library(/do-file/program define/Computer Code appendix), NO repo link; says results available from authors. (d) Harvard Dataverse API q=structure+of+online+activism — no match; OSF nodes API filter[title]=online activism — 4 unrelated nodes, none by Lewis/Gray/Meierhenrich. (e) web_search not needed.","No usable package: coverage-verify CONFIRMS no package: Skeptical independent re-check confirms NO replication package exists for 'The Structure of Online Activism' (Lewis, Gray, Meierhenrich; Sociological Science 2014, vol 1, a1).

Sources re-verified:
(a) ARTICLE PAGE (sociologicalscience.com/structure-online-activism): tabs are Abstract, Author Info, Supplemental Materials, Process Info, plus article PDF. The only nav 'Reproducibility' item is the journal-wide Reproducibility Policy page, NOT a per-article Reproducibility Package/replication line. Confirmed no package link.
(b) SUPPLEMENT PDF (.../supplementalmaterials/The Structure of Online Activism_Supplemental.pdf): I downloaded it and extracted the FULL text with pdftotext (387 lines, pages S1-S4). It contains only robustness re-analyses ('replicated all analyses using four alternative time thresholds'), one regression/figure, and a reference list. The ONLY URLs present are dx.doi.org citation links and www.sociologicalscience.com. NO printed replication code (no library(, no program define, no do-file, no proc, no 'Computer Code' appendix), and NO link to any dataverse/osf/github/zenodo/figshare repository. Text states results are 'available from the [authors]'. Data is proprietary (Save Darfur 'Cause' on Facebook / Causes.com), consistent with no public package.
(c) REPOSITORY APIs queried directly (plain HTTP): OSF nodes filter[title]=online activism -> 4 nodes (Moral Appeal in Online Activism; far-right Facebook mobilization; a psychology dissertation; attitude change) — none by Lewis/Gray/Meierhenrich. OSF users filter[full_name]=Kevin Lewis -> total 0. Zenodo q=structure of online activism -> 15 unrelated records, no match. GitHub search q=structure of online activism -> total_count 0. Harvard Dataverse: its API returns HTTP 202 with x-amzn-waf-action: challenge and an empty body (AWS WAF bot-challenge) via BOTH curl and WebFetch, so direct API verification was environmentally blocked — NOT evidence of a hidden package.
(d) To compensate for the Dataverse WAF block, ran web searches that index Dat...",1
10.15195/v1.a3,SS003,Political Ideology and Racial Preferences in Online Dating,"Ashton Anderson, Sharad Goel, Gregory Huber, Neil Malhotra, Duncan J. Watts",2014-02-14,"September 18, 2013",https://sociologicalscience.com/political-ideology-racial-preference-online-dating/,Y,N,N,N,N,Y,,,,N/A,"(a) Article page https://sociologicalscience.com/political-ideology-racial-preference-online-dating/ -- only a 'Supplemental Materials' PDF link, no Reproducibility Package line. (b) Full article PDF (http://www.sociologicalscience.com/download/volume 1/february_/Political Ideological and Racial Preferences in Online Dating.pdf) read in full incl. end-matter/references/footnotes -- no package link, no data/code availability statement; only reference DOIs. (c) Supplement PDF (..._supplemental.pdf) read in full -- only Tables A1-A4 + Figure A1 narrative; no printed code, no link. (d) Repository APIs: OSF nodes filter[title] (0), Zenodo q=political ideology racial preferences online dating (0), GitHub search/repositories (0), Harvard Dataverse search q=title/authors (no matching dataset). (e) Web_search not used; (a)-(d) conclusive. Paper is 2014 with proprietary dating-site data.","No usable package: coverage-verify CONFIRMS no package: Independently re-checked every source and confirmed no replication package exists. (a) Article page: only a ""Supplemental Materials"" PDF link plus Comment/Rejoinder PDFs; no ""Reproducibility Package""/replication line. (b) Supplement PDF: I read all 4 pages myself — only narrative on broad/narrow candidate pools, Figure A1, and Tables A1-A4 (model coefficients); no package link, no data/code availability statement, no printed R/Stata/SQL/Python code. (c) Repository APIs queried directly by title and author: OSF title search returns only unrelated implicit-bias/sexual-attraction studies and the sole OSF user ""Sharad Goel"" (svb23) registered Sept 2024 with zero public nodes (unrelated); Zenodo 15 records none matching; GitHub total_count=0; figshare search endpoint 404s. (d) Harvard Dataverse API returned HTTP 202 empty body (unstable) via both WebFetch and curl, so I checked the natural institutional archive ISPS Yale (Huber's institution, isps14-006) which only links to the article PDF and external journal page — no Data/Replication section. (e) Author/institutional pages (Ashton Anderson Stanford CS, Microsoft Research publication page) link to no code/data. (f) Web search results all point only to PDF copies. This is a 2014 study built on proprietary online-dating-site data (250,000+ users) that cannot be publicly shared, consistent with the absence of any package. The locate agent's negative conclusion is correct.",1
10.15195/v1.a2,SS004,Time as a Network Good: Evidence from Unemployment and the Standard Workweek,"Cristobal Young, Chaeyoon Lim",2014-02-14,"October 16, 2013",https://sociologicalscience.com/time-network-good/,Y,N,Y,Y,Y,N,N,,https://osf.io/4g8f5/,https://osf.io/4g8f5/ (direct archive download: https://osf.io/download/4g8f5/),"(a) Article page https://sociologicalscience.com/time-network-good/ — Supplemental Materials tab links only to supplement PDF + article PDF; no 'Reproducibility Package'/'replication materials' line. (c) Supplement PDF (Time as a Network Good_supplemental.pdf, 84KB) — only Tables A1-A2 descriptive stats/randomization tests; NO printed code, NO package URL. (d) Repository APIs: Harvard Dataverse search (title + author) = no match; OSF api.osf.io/v2/nodes/?filter[title]=Time as a Network Good = node 4g8f5, confirmed via /nodes/4g8f5/, /contributors/ (Cristobal Young), and /files/osfstorage/ (ATUS_replication.zip). OSF user search confirmed Cristobal Young kbcq8 = Cornell Sociology. Stopped at confirmed OSF package; did not need (b) full-PDF end-matter read or (e) web_search.","Paper 'Time as a Network Good: Evidence from Unemployment and the Standard Workweek' (Young & Lim) reports original quantitative empirical analysis of American Time Use Survey data => in_scope=Y, qualitative=N. Verified the OSF package (node 4g8f5, ATUS_replication.zip, 26 MB) by downloading and listing archive contents. Package contains exactly two deposited files: ATUS_rep_basic.dta (213 MB uncompressed, the analysis dataset) and ATUS_replication.do (11 KB, Stata replication script). Authors deposited the actual analysis dataset IN the package (not merely a pointer to ATUS/IPUMS) => data=Y. Deposited .do file reproduces this paper's results => code=Y. Underlying source is ATUS (free public BLS microdata) and the deposited data is unrestricted => data_gated=N. | provenance: OSF node 4g8f5 (public) titled ""Time as a Network Good""; sole owner/bibliographic contributor Cristobal Young (user kbcq8), a named co-author of the paper (Young & Lim, Sociological Science 2014). Node title matches paper title. Verified via OSF API node, contributors, and osfstorage endpoints.",1
10.15195/v1.a5,SS005,The Diffusion of the Legitimate and the Diffusion of Legitimacy,Gabriel Rossman,2014-03-03,2013-09-17,https://sociologicalscience.com/the-diffusion-of-the-legitimate/,Y,N,N,Y,N,N,N,,https://sociologicalscience.com/the-diffusion-of-the-legitimate/,"article page → Supplemental Materials PDF → ""Stata Script for Simulation"" (p. S1)",Full article PDF + Supplemental Materials PDF (pdftotext); supplement scan FOUND a complete 38-line Stata do-file (program define simdiffuse; forvalues; postfile; rnormal; graph export figure2_lines.eps). Checked OSF/GitHub/Dataverse/Rossman homepage — no separate deposit.,"FULL-TEXT RE-CHECK (abstract-triage NA overturned). Agent-based computer simulation the author wrote+ran in Stata to produce Figure 2 (""The Stata code for the simulation is given in [the supplement]"") => in_scope=Y, qualitative=N. Complete runnable Stata script printed in the supplement (defines program simdiffuse, runs the simulation, exports figure2 EPS) => code=Y; package_location = the supplement PDF. Self-contained simulation, no external dataset => data=N, data_gated=N.",1
10.15195/v1.a6,SS006,Beyond the One-Drop Rule: Views of Obama’s Race and Voting Intention in 2008,"Simon Cheng, David Weakliem",2014-03-17,"September 17, 2013",https://sociologicalscience.com/beyond-the-one-drop-rule/,Y,N,N,N,N,Y,,,,N/A - no downloadable replication package exists,"(a) Article page Supplemental Materials tab — only main + supplement PDFs, no Reproducibility Package line. (b) Full main article PDF read in entirety incl. end-matter (data/code availability, footnotes, acknowledgments, references): no package link, only Acknowledgements + author emails + commercial data citation 'Time Magazine Poll 2008-4556'. (c) Supplement PDF opened and fully read: single page S1, Table S1 variable descriptions only — no printed code (no R/Stata/do-file/library(/program define/proc), no code appendix), no link. (d) Repository APIs via WebFetch: Zenodo (no relevant hits), OSF nodes filter[title]=one-drop (0), OSF users filter[full_name]=David Weakliem (0), GitHub search repositories (total_count=0); Harvard Dataverse JSON API returned empty via WebFetch and HTTP 202/0-bytes via curl (sandbox-blocked network). (e) No web_search used — budget preserved.","No usable package: coverage-verify CONFIRMS no package: No replication package exists for Cheng & Weakliem, ""Beyond the One-Drop Rule"" (Sociological Science 2014, Vol 1: 70-80). I independently re-verified EVERY source rather than trusting the locate agent:

(a) ARTICLE PAGE (WebFetch of https://sociologicalscience.com/beyond-the-one-drop-rule/): only two downloads exist — the main article PDF and a Supplement PDF. No ""Reproducibility Package""/""replication materials""/data/code line. The journal's site-wide Reproducibility Policy is a nav-menu item, not attached to this article.

(b) MAIN PDF END-MATTER — I downloaded the PDF and extracted the actual text myself (pdftotext), reading the full end of the article: References section, then ""Acknowledgements: We thank Brian Powell and Melissa Herman for their useful comments."" then author affiliations/emails (Simon Cheng simon.cheng@uconn.edu, David L. Weakliem david.weakliem@uconn.edu, both Dept. of Sociology, University of Connecticut). There is NO data availability statement, NO code availability section, NO repository/DOI/URL for materials. Data source is the commercial/proprietary ""Time Magazine Poll 2008-4556, September 26–29, 2008"" — not redistributable.

(c) SUPPLEMENT PDF BODY — I extracted its full text myself: it is a single page (S1) containing only Table S1 ""Description of Variables Used in the Main Analyses"" (variable names + question wording/coding) plus notes about missing-data handling. NO printed computer code (no R/Stata/do-file/proc/library(/program define/code appendix), NO link, NO DOI, NO repository reference.

(d) REPOSITORY APIs queried directly by title + author name: OSF nodes filter[title]=one-drop → 0; OSF users filter[full_name]=David Weakliem → 0; Zenodo q=one-drop Obama race voting Weakliem Cheng → only unrelated records (no Cheng/Weakliem, no one-drop item); GitHub search/repositories → total_count=0; figshare POST /v2/articles/search for both ""one-drop Obama race voting intention"" and ""Weakliem Cheng Obama race"" → [] empty. Harvard Dataverse /api/search returns async HTTP 202 with 0-...",1
10.15195/v1.a7,SS007,So You Think You Can Dance? Lessons from the U.S. Private Equity Bubble,"Catherine J. Turco, Ezra W. Zuckerman",2014-03-24,"September 16, 2013",https://sociologicalscience.com/so-you-think-you-can-dance/,Y,Y,N,N,N,Y,,,,none,"(a) Article page https://sociologicalscience.com/so-you-think-you-can-dance/ — no supplemental/reproducibility line, only article PDF link. (b) Full article PDF (.../So You Think You Can Dance.pdf) downloaded and full text extracted with pdftotext; read entire document incl. end-matter, acknowledgments, references — no data/code availability statement, no OSF/Dataverse/Zenodo/GitHub/package DOI, no printed code (only citation DOIs). (c) No supplement PDF exists/referenced. (d) Repository APIs via WebFetch: OSF nodes filter[title]=private equity bubble (0), OSF users filter[full_name]=Ezra Zuckerman (0), Zenodo q=private equity bubble dance (no match), Harvard Dataverse q=private equity bubble Turco Zuckerman (no results). (e) No web_search used.","No usable package: coverage-verify CONFIRMS no package: Independently re-verified all sources; no replication package exists. (a) Article page has only the PDF link — no Supplemental Material / Reproducibility Package / replication line, no data availability statement. (b) I downloaded the full article PDF and extracted its text; the end-matter, acknowledgments (only a research assistant + seminar audiences), and references (standard citation DOIs only) contain no data/code availability statement, no appendix printing code, and no OSF/Dataverse/Zenodo/GitHub/DOI package link. (c) No supplement PDF exists or is referenced. (d) Direct repository-API queries all returned no match: OSF nodes filter[title]=private equity bubble (0), OSF users filter[full_name]=Ezra Zuckerman (0), Harvard Dataverse across three queries including the exact title (total_count 0), Zenodo (only unrelated butoh/folk-dance records), GitHub search (total_count 0), figshare (404/no match). Fundamentally, this is a 2014 conceptual/theoretical essay (Sociological Science Vol. 1) with no empirical dataset or code to replicate, consistent with the absence of any package. The locate agent's negative is correct.",1
10.15195/v1.a11,SS011,Unintended Consequences: Effects of Paternal Incarceration on Child School Readiness and Later Special Education Placement,Anna R. Haskins,2014-04-21,"February 3, 2014",https://sociologicalscience.com/unintended-consequences-effects-of-paternal-incarceration/,Y,N,N,N,N,Y,,,,none,"(a) Article page https://sociologicalscience.com/unintended-consequences-effects-of-paternal-incarceration/ — only a 'Supplemental Materials' link, no Reproducibility Package/replication line. (b) Full article PDF (18 pp) read end-to-end incl. footnotes/references/end-matter — no data/code availability section; only dx.doi.org citations + one method blog link (ederosia.byu.edu, a citation). (c) Supplement PDF (11 pp) opened and fully scanned — statistical Appendices A-I only; no do-file/library(/program define/clear all/proc; no package URL. (d) Repository APIs queried directly: Harvard Dataverse (title+authorName Haskins)=0; OSF nodes filter[title]=0; OSF users filter[full_name]=Anna Haskins=0; Zenodo q=paternal incarceration school readiness Haskins = only unrelated hits (Haskins Laboratories speech lab; hypertension study). (e) web_search not used (budget preserved).","No usable package: coverage-verify CONFIRMS no package: Skeptically re-checked every source and found no replication package. (a) Article page confirmed independently: only a ""Supplemental Materials"" link (a figures PDF) and a PDF download — no ""Reproducibility Package""/replication-materials line (Sociological Science surfaces such a link when one exists). (b) Full article PDF: no data/code availability section. (c) Supplement PDF fetched and scanned independently: only embedded figure objects / statistical appendices — no do-file, R/Stata/SAS code, library(, program define, proc, clear all, no Computer Code appendix, no repository URL. (d) Repository APIs queried directly with no budget limit: OSF users filter[full_name]=Anna Haskins=0 and OSF nodes = only an unrelated 2016 poster; Zenodo = only unrelated hits (CARDIA hypertension); GitHub repos=0; figshare search=[] (0); Harvard Dataverse API returned HTTP 202 with empty body on every attempt (sandbox throttle, could not confirm directly) but a web search of Harvard Dataverse surfaced no matching dataset. (e) Author's Notre Dame CV (2026) extracted locally lists the paper only, with no Dataverse/OSF/openICPSR/GitHub/Zenodo/figshare or any data/code deposit. Decisive corroboration: Sociological Science's Reproducibility Policy took effect only for submissions after April 1, 2023, whereas this article is from Volume 1, April 2014 — nine years earlier — so no journal-mandated replication package exists. Sole minor gap: Dataverse search API not directly confirmable due to a 202/empty-body throttle, but covered via web search and moot given the pre-policy publication date.",1
10.15195/v1.a13,SS013,Asymmetries in Experiential and Vicarious Feedback: Lessons from the Hiring and Firing of Baseball Managers,"David Strang, Kelly Patterson",2014-05-12,"October 9, 2013",https://sociologicalscience.com/articles-vol1-13-179/,Y,N,N,N,N,Y,,,,,"(a) Article page https://sociologicalscience.com/articles-vol1-13-179/ — only a Download PDF link and a generic 'Reproducibility Policy' nav link; NO Supplemental Material / Reproducibility Package / replication materials line. (b) Full article PDF (https://sociologicalscience.com/download/volume%201/may(3)/asymmetries-in-experiential-and-vicarious-feeback.pdf) read end to end — no data/code availability statement; data source is a citation only (Baseball-Reference.com / Sports Reference LLC 2008); Acknowledgements name colleagues and give author emails (ds20@cornell.edu, klpatter@marshall.usc.edu) but NO package link; references are DOIs of cited works only; no OSF/Dataverse/Zenodo/GitHub/figshare link. (c) Supplement PDF (_supp.pdf) returns HTTP 404 — no supplement file exists. (d) Repository APIs all returned zero matches: Harvard Dataverse search (title+author), OSF nodes filter[title]=baseball managers (0), OSF users filter[full_name]=David Strang (one account j3mbn registered Jan 2025, zero public nodes, unrelated to this 2014 paper), Zenodo (0), GitHub search (total_count 0), figshare search (0). (e) One web_search confirmed no package; Sociological Science reproducibility policy applies only to submissions after April 1, 2023, and this article is from 2014, predating the requirement.","No usable package: coverage-verify CONFIRMS no package: Independently and skeptically re-checked every source and confirm NO replication package exists. (a) Article page re-fetched with full link/tab inventory: only a Download PDF link and a generic 'Reproducibility Policy' nav link — no Supplemental Material tab, no Reproducibility Package or replication-materials line. (b) Full article PDF downloaded and text-extracted with pdftotext; read References + Acknowledgements end-matter end to end — NO data/code availability statement, NO printed code, NO repository URL; data source is a citation only (Sports Reference LLC 2008 / baseball-reference.com); Acknowledgements list colleagues and author emails (ds20@cornell.edu, klpatter@marshall.usc.edu) with no package link. (c) Supplement PDF (_supp.pdf) confirmed HTTP 404 — no supplement file. (d) Repository APIs queried directly via plain HTTP: GitHub total_count 0; Zenodo (20 baseball hits, none by Strang/Patterson or this paper); OSF nodes filter[title]=baseball (none relevant); OSF users filter[full_name]=Kelly Patterson (total 0); figshare (none relevant). (e) Author homepages fetched: Cornell page for David Strang lists only unrelated 'mhdiff' diffusion software, no baseball replication materials; no OSF user for Kelly Patterson. Article is from May 2014, predating Sociological Science's post-April-2023 reproducibility requirement. The locate agent's negative conclusion holds under skeptical re-verification.",1
10.15195/v1.a14,SS014,"High Stakes in the Classroom, High Stakes on the Street: The Effects of Community Violence on Student's Standardized Test Performance","Patrick Sharkey, Amy Ellen Schwartz, Ingrid Gould Ellen, Johanna Lacoe",2014-05-27,"October 29, 2013",https://sociologicalscience.com/articles-vol1-14-199/,Y,N,N,N,N,Y,,,,N/A - no package URL found,"(a) Article landing page https://sociologicalscience.com/articles-vol1-14-199/ -- only 'Supplemental Materials' PDF, no reproducibility/replication package line. (b) Full article PDF http://sociologicalscience.com/download/volume%201/may(3)/high-stakes-in-the-classroom-high-stakes-on-the-street.pdf -- read full text incl. end-matter/acknowledgments/references; no data/code availability, restricted NYCDOE data, W.T. Grant funding. (c) Supplement PDF supplemental-high-stakes-in-the-classroom-high-stakes-on-the-street.pdf (3 pp.) -- grepped all pages for http/osf/github/dataverse/.do/library(/clear all/program define/regress/proc/'available at'/replicat -> none; only results tables. (d) Repository APIs via WebFetch: Harvard Dataverse search (title+author, empty); OSF /users?filter[full_name]=Patrick Sharkey -> q94hm, then /users/q94hm/nodes/ -> 0 nodes, and /nodes?filter[title]=community violence standardized test -> 0; Zenodo /api/records q='High Stakes in the Classroom' community violence -> no match; GitHub /search/repositories -> total_count 0. (e) One targeted WebSearch -> only article+supplement pages and unrelated later works. found=false.","No usable package: coverage-verify CONFIRMS no package: Independently and skeptically re-checked every source; no replication package exists. (a) Article landing page: fetched all tabs (Abstract, Author Information, Supplemental Materials, Process Info) — only a Supplemental Materials PDF is offered; no Reproducibility Package/replication line, no OSF/Dataverse/GitHub/Zenodo/figshare links. (b) Supplement PDF read in full (extracted text): contains ONLY two regression results tables (Table 1 Predicting Treatment, Table 2 Pass Exam Models); no URLs, no data/code availability statement, no printed code (.do/library()/program define/regress/proc/SAS). (c) Full article end-matter read in full: only reference list, Acknowledgements (William T. Grant Foundation funding), and author correspondence/emails (Patrick.Sharkey@nyu.edu, Amy.Schwartz@nyu.edu, Ingrid.Ellen@nyu.edu, lacoe@price.usc.edu); no Data/Code Availability section, no repository links (only dx.doi.org citation links). (d) Repository APIs queried by title and author: Zenodo 0 hits, GitHub total_count 0, figshare POST search 0 results, OSF located Johanna Lacoe (user fx3zm) and enumerated her 8 nodes — all unrelated criminal-justice/policy projects, none on community violence or test performance; OSF Sharkey 0 relevant per prior check; Harvard Dataverse API returned HTTP 202 empty body (anonymous throttle) and its search-results page is JS-rendered, so not freshly confirmable, but all other repositories are clean. Context: 2014 article predating Sociological Science's mandatory reproducibility-package policy, built on restricted/confidential NYCDOE administrative microdata that cannot be publicly redistributed. Locate agent's found=false is correct.",1
10.15195/v1.a16,SS016,When Forecasts Fail: Unpredictability in Israeli-Palestinian Interaction,"Charles Kurzman, Aseem Hasnain",2014-06-23,"March 7, 2014",https://sociologicalscience.com/articles-vol1-16-239/,Y,N,Y,N,N,N,N,,https://kurzman.unc.edu/forecasting/when-forecasts-fail/,"http://kurzman.unc.edu/wp-content/uploads/sites/1410/2014/06/When_Forecasts_Fail_forecast_data.txt (verified live: HTTP 200, 4.76 MB, text/plain, ~11,218 daily observations x 79 comma-separated variables). Linked from https://kurzman.unc.edu/forecasting/when-forecasts-fail/ under ""Replication data.""","(a) Article page sociologicalscience.com/articles-vol1-16-239 — only a Supplemental Materials PDF link, no reproducibility-package line. (b) Full article PDF SocSci_v1_239to259.pdf, end-matter fully read pp.253-259 incl. References + Acknowledgments (NSF grant 0729405; emails kurzman@unc.edu, ahasnain@unc.edu) — no data/code availability statement, no repository URL. (c) Supplement PDF SocSci_v1_239to259_supp.pdf, all S1-S20 read (Appendices A & B) — no printed code, no package link (cites R packages MSBVAR, strucchange only). (d) Repository APIs: OSF user Kurzman id 4c8zk = 0 nodes; OSF title filter = empty; Zenodo q=Kurzman Israeli Palestinian forecasts = 20 unrelated hits; GitHub search = 0; Harvard Dataverse API returned HTTP 202 empty body (anti-bot) for both WebFetch and curl w/ browser UA. (e) One web_search + WebFetch of kurzman.unc.edu homepage and the /forecasting/when-forecasts-fail/ project page, where the replication data .txt file was found and verified live via curl.","in_scope=Y (original empirical quantitative analysis: vector autoregression time-series forecasting of Israeli-Palestinian interaction); qualitative=N. Verified live (HTTP 200) the replication file When_Forecasts_Fail_forecast_data.txt on the authors' UNC homepage project page (https://kurzman.unc.edu/forecasting/when-forecasts-fail/). It is the authors' constructed analysis dataset: ~11,218 daily obs x 79 comma-separated variables, header 'date,saturday,top13,ip,ipgoldstein,ipviolence,ipverbal,ipmaterial,...' including '_insample_prediction'/'_outofsample_prediction' variables. This is a genuine deposit of the analysis data (not a pointer to an external public archive) => data=Y. No do-file/R-script/code found; package is data-only => code=N. Data is freely downloadable with no restriction => data_gated=N, data_source blank. | provenance: Author-owned homepage: dedicated project page on Charles Kurzman's UNC Chapel Hill departmental site (kurzman.unc.edu/forecasting/when-forecasts-fail/), Kurzman is a co-author, page title cites THIS paper (Sociological Science 2014, Vol 1:239-259). RULE4 satisfied.",1
