doi,paper_id,title,authors,published_date,submission_date,article_url,in_scope,qualitative,data,code,data_and_code,neither,data_gated,data_source_apply_at,package_location,path_to_package,coverage_checked,notes
10.15195/v1.a1,SS001,The Structure of Online Activism,"Kevin Lewis, Kurt Gray, Jens Meierhenrich",2014-02-12,"September 16, 2013",https://sociologicalscience.com/structure-online-activism/,,,,,,,,,,,,
10.15195/v1.a3,SS003,Political Ideology and Racial Preferences in Online Dating,"Ashton Anderson, Sharad Goel, Gregory Huber, Neil Malhotra, Duncan J. Watts",2014-02-14,"September 18, 2013",https://sociologicalscience.com/political-ideology-racial-preference-online-dating/,,,,,,,,,,,,
10.15195/v1.a2,SS004,Time as a Network Good: Evidence from Unemployment and the Standard Workweek,"Cristobal Young, Chaeyoon Lim",2014-02-14,"October 16, 2013",https://sociologicalscience.com/time-network-good/,,,,,,,,,,,,
10.15195/v1.a5,SS005,The Diffusion of the Legitimate and the Diffusion of Legitimacy,Gabriel Rossman,2014-03-03,2013-09-17,https://sociologicalscience.com/the-diffusion-of-the-legitimate/,,,,,,,,,,,,
10.15195/v1.a6,SS006,Beyond the One-Drop Rule: Views of Obama’s Race and Voting Intention in 2008,"Simon Cheng, David Weakliem",2014-03-17,"September 17, 2013",https://sociologicalscience.com/beyond-the-one-drop-rule/,,,,,,,,,,,,
10.15195/v1.a7,SS007,So You Think You Can Dance? Lessons from the U.S. Private Equity Bubble,"Catherine J. Turco, Ezra W. Zuckerman",2014-03-24,"September 16, 2013",https://sociologicalscience.com/so-you-think-you-can-dance/,,,,,,,,,,,,
10.15195/v1.a11,SS011,Unintended Consequences: Effects of Paternal Incarceration on Child School Readiness and Later Special Education Placement,Anna R. Haskins,2014-04-21,"February 3, 2014",https://sociologicalscience.com/unintended-consequences-effects-of-paternal-incarceration/,,,,,,,,,,,,
10.15195/v1.a13,SS013,Asymmetries in Experiential and Vicarious Feedback: Lessons from the Hiring and Firing of Baseball Managers,"David Strang, Kelly Patterson",2014-05-12,"October 9, 2013",https://sociologicalscience.com/articles-vol1-13-179/,,,,,,,,,,,,
10.15195/v1.a14,SS014,"High Stakes in the Classroom, High Stakes on the Street: The Effects of Community Violence on Student's Standardized Test Performance","Patrick Sharkey, Amy Ellen Schwartz, Ingrid Gould Ellen, Johanna Lacoe",2014-05-27,"October 29, 2013",https://sociologicalscience.com/articles-vol1-14-199/,,,,,,,,,,,,
10.15195/v1.a16,SS016,When Forecasts Fail: Unpredictability in Israeli-Palestinian Interaction,"Charles Kurzman, Aseem Hasnain",2014-06-23,"March 7, 2014",https://sociologicalscience.com/articles-vol1-16-239/,,,,,,,,,,,,
10.15195/v1.a17,SS017,Friend Effects and Racial Disparities in Academic Achievement,Jennifer Flashman,2014-07-07,"March 27, 2014",https://sociologicalscience.com/articles-vol1-17-260/,,,,,,,,,,,,
10.15195/v1.a18,SS018,"Market Transition Theory Revisited: Changing Regimes of Housing Inequality in China, 1988-2002","Xi Song, Yu Xie",2014-07-21,"May 7, 2014",https://sociologicalscience.com/articles-vol1-18-277/,,,,,,,,,,,,
10.15195/v1.a20,SS020,An Ecology of Social Categories,"Elizabeth G. Pontikes, Michael T. Hannan",2014-08-18,2014-04-15,https://sociologicalscience.com/articles-vol1-20-311/,,,,,,,,,,,,
10.15195/v1.a21,SS021,Age Trajectories of Poverty During Childhood and High School Graduation,Dohoon Lee,2014-09-01,"May 22, 2014",https://sociologicalscience.com/articles-vol1-21-344/,,,,,,,,,,,,
10.15195/v1.a22,SS022,The Handover in Hong Kong: Impact on Business Formation,"Glenn R. Carroll, Mi Feng, Jeroen G. Kuilman",2014-09-15,"January 13, 2014",https://sociologicalscience.com/articles-vol1-22-366/,,,,,,,,,,,,
10.15195/v1.a23,SS023,"Mexican Ancestry, Immigrant Generation, and Educational Attainment in the United States","Stephen L. Morgan, Dafna Gelbgiser",2014-09-29,"June 19, 2014",https://sociologicalscience.com/articles-vol1-23-397/,,,,,,,,,,,,
10.15195/v1.a24,SS024,"Explaining Why More Americans Have No Religious Preference: Political Backlash and Generational Succession, 1987-2012","Michael Hout, Claude S. Fischer",2014-10-13,"July 8, 2014",https://sociologicalscience.com/articles-vol1-24-423/,,,,,,,,,,,,
10.15195/v1.a25,SS025,The Community College Effect Revisited: The Importance of Attending to Heterogeneity and Complex Counterfactuals,"Jennie E. Brand, Fabian T. Pfeffer, Sara Goldrick-Rab",2014-10-27,"August 22, 2014",https://sociologicalscience.com/articles-vol1-25-448/,,,,,,,,,,,,
10.15195/v1.a26,SS026,Secrets and Misperceptions: The Creation of Self-Fulfilling Illusions,Sarah K. Cowan,2014-11-03,"July 22, 2014",https://sociologicalscience.com/articles-vol1-26-466/,,,,,,,,,,,,
10.15195/v1.a27,SS027,"“Trivial” Topics and Rich Ties: The Relationship Between Discussion Topic, Alter Role, and Resource Availability Using the “Important Matters” Name Generator",Matthew E. Brashears,2014-11-10,"June 30, 2014",https://sociologicalscience.com/articles-vol1-27-493/,,,,,,,,,,,,
10.15195/v1.a29,SS029,Defending the Decimals: Why Foolishly False Precision Might Strengthen Social Science,Jeremy Freese,2014-12-08,"June 13, 2014",https://sociologicalscience.com/articles-vol1-29-532/,,,,,,,,,,,,
10.15195/v2.a1,SS031,Disability and the Worlds of Welfare Capitalism,Rourke O’Brien,2015-01-12,"July 26, 2014",https://sociologicalscience.com/articles-vol2-1-1/,,,,,,,,,,,,
10.15195/v2.a2,SS032,Studying Online Behavior: Comment and Rejoinder,Kevin LewisAshton Anderson et al.,2015-01-21,"September 19, 2014",https://sociologicalscience.com/articles-vol2-2and3-20/,,,,,,,,,,,,
10.15195/v2.a7,SS036,Individual Religiosity and Orientation towards Science: Reformulating Relationships,"David R. Johnson, Christopher P. Scheitle, Elaine Howard Ecklund",2015-03-11,"November 18, 2014",https://sociologicalscience.com/articles-vol2-7-106/,,,,,,,,,,,,
10.15195/v2.a8,SS037,"The Buffering Hypothesis: Growing Diversity and Declining Black-White Segregation in America’s Cities, Suburbs, and Small Towns?","Domenico Parisi, Daniel T. Lichter, Michael C. Taquino",2015-03-25,"December 2, 2014",https://sociologicalscience.com/articles-vol2-125/,,,,,,,,,,,,
10.15195/v2.a9,SS038,Robust Science: Passive Smoking and Scientific Collaboration with the Tobacco Industry in the 1970s,Uri Shwed,2015-04-01,"August 17, 2014",https://sociologicalscience.com/articles-v2-9-158/,,,,,,,,,,,,
10.15195/v2.a12,SS041,Making Up for an Unlucky Month of Birth in School: Causal Evidence on the Compensatory Advantage of Family Background in England,"Fabrizio Bernardi, Michael Grätz",2015-05-06,"November 13, 2014",https://sociologicalscience.com/articles-v2-12-235/,,,,,,,,,,,,
10.15195/v2.a13,SS042,Conceptual Spaces and the Consequences of Category Spanning,"Balázs Kovács, Michael T. Hannan",2015-05-13,"July 21, 2014",https://sociologicalscience.com/articles-v2-13-252/,,,,,,,,,,,,
10.15195/v2.a14,SS043,Extending the INGO Network Country Score 1950-2008,"Pamela Paxton, Melanie M. Hughes, Nicholas E. Reith",2015-05-20,"July 15, 2014",https://sociologicalscience.com/articles-v2-14-287/,,,,,,,,,,,,
10.15195/v2.a15,SS044,Niche Overlap and Discrediting Acts: An Empirical Analysis of Informing in Hollywood,"Giacomo Negro, Sasha Goodman",2015-06-08,"January 16, 2015",https://sociologicalscience.com/articles-v2-15-308/,,,,,,,,,,,,
10.15195/v2.a16,SS045,Neighborhood and Network Disadvantage among Urban Renters,"Matthew Desmond, Weihua An",2015-06-24,"January 15, 2015",https://sociologicalscience.com/articles-v2-16-329/,,,,,,,,,,,,
